,City,Country,Date,Lat,Lng,Maximum Temperature,Humidity,Cloudiness,Wind Speed
0,Mahébourg,MU,1596049959,-20.41,57.7,22,83,75,5.1
1,Chokurdakh,RU,1596050158,70.63,147.92,5.96,74,58,4.29
2,Busselton,AU,1596049917,-33.65,115.33,8.33,85,61,1.16
3,Atambua,ID,1596050220,-9.11,124.89,18.14,80,2,2.72
4,Nishihara,JP,1596050188,26.18,127.76,28,88,20,4.1
5,Byron Bay,AU,1596049976,-28.65,153.62,11.67,93,14,2.6
6,Castro,BR,1596049750,-24.79,-50.01,14.75,91,99,3.19
7,Rikitea,PF,1596049927,-23.12,-134.97,22.73,82,0,5.79
8,Tuktoyaktuk,CA,1596049961,69.45,-133.04,9,81,90,2.6
9,Bluff,NZ,1596049961,-46.6,168.33,10.65,86,100,4.63
10,Ushuaia,AR,1596049925,-54.8,-68.3,5,87,75,12.9
11,Barrow,US,1596049968,71.29,-156.79,7,75,90,9.3
12,Asău,RO,1596050158,46.43,26.4,21.11,79,0,2.05
13,Chaman,PK,1596050221,30.92,66.45,25.52,16,8,1.35
14,Mataura,NZ,1596049927,-46.19,168.86,9.1,87,100,2.31
15,Vao,NC,1596050221,-22.67,167.48,22.21,82,98,12.67
16,Āmol,IR,1596050221,36.47,52.35,28.07,65,100,0.36
17,Okahandja,NA,1596050222,-21.98,16.92,16,23,0,1
18,Mandera,KE,1596050222,3.94,41.87,28.35,51,0,4.38
19,New Norfolk,AU,1596050126,-42.78,147.06,7.78,81,0,0.45
20,Raudeberg,NO,1596050177,61.99,5.14,14,87,75,4.1
21,Oranjemund,NA,1596050166,-28.55,16.43,13.13,80,0,5.98
22,Dwārka,IN,1596050040,22.24,68.97,29.42,78,100,8.22
23,Nioro,GM,1596050222,13.35,-15.75,25.04,90,100,4.24
24,Zharkent,KZ,1596050223,44.16,80,18.32,66,100,0.82
25,Hithadhoo,MV,1596049927,-0.6,73.08,28.4,75,0,7.91
26,Ilulissat,GL,1596050129,69.22,-51.1,7,75,20,3.1
27,Kindu,CD,1596050223,-2.95,25.95,24.66,34,1,0.04
28,Punta Arenas,CL,1596049923,-53.15,-70.92,5,75,40,8.2
29,Gizo Government Station,SB,1596050168,-8.1,156.84,27.96,76,1,3.87
30,Santa Vitória do Palmar,BR,1596050223,-33.52,-53.37,11.07,64,0,2.29
31,Lebu,CL,1596049957,-37.62,-73.65,9.58,60,100,1.4
32,Yangcun,CN,1596050224,39.36,117.06,28,69,0,2
33,Vaini,TO,1596049928,-21.2,-175.2,20,77,75,5.1
34,Hilo,US,1596050121,19.73,-155.09,26,65,75,3.1
35,Khatanga,RU,1596050153,71.97,102.5,12.11,70,97,4.14
36,Puerto Ayora,EC,1596050132,-0.74,-90.35,24,64,20,9.3
37,Plouzané,FR,1596050174,48.38,-4.62,19,63,1,3.1
38,San Patricio,MX,1596049965,19.22,-104.7,32,75,75,4.1
39,Starozhilovo,RU,1596050225,54.23,39.92,20.86,74,40,3.78
40,Upernavik,GL,1596050132,72.79,-56.15,6.28,90,88,2.64
41,Hong Kong,HK,1596049916,22.29,114.16,29.44,79,100,3.58
42,Antanifotsy,MG,1596050225,-19.65,47.32,13.58,93,100,1.86
43,Dunedin,NZ,1596050225,-45.87,170.5,8.33,83,100,3.13
44,Ambilobe,MG,1596050225,-13.2,49.05,22.56,71,41,1.86
45,Seddon,AU,1596050225,-37.81,144.89,10,93,75,3.1
46,Bengkulu,ID,1596050119,-3.8,102.27,23.19,91,27,2.35
47,Miyako,JP,1596050226,39.64,141.95,17.14,88,6,2.28
48,Itanhém,BR,1596050226,-17.17,-40.33,25.46,53,0,2.83
49,Komatipoort,ZA,1596050226,-25.43,31.95,17,48,0,0.5
50,Santa Cruz,MA,1596050226,30.42,-9.6,27,57,0,4.6
